unit_short,subject_ID,sex,age,years_of_education,group,country,unit,subject_ID of the matched participant,wais3,wais4,waisvocabulary,raven,digit_span,spatial_span,melody_span,nback,PROMSMELODYSCORE,PROMSTUNINGSCORE,PROMSBEATSCORE,PROMSSPEEDSCORE,PROMSTOTALSCORE,PROMSTOTALSCORENOMELODY,eBMRQ_MusicSeeking,eBMRQ_EmotionEvocation,eBMRQ_MoodRegulation,eBMRQ_SensoryMotor,eBMRQ_SocialReward,eBMRQ_MusicalAbsorption,eBMRQ_TOT,BMRQ_TOT,gold_msi_active_engagement,gold_msi_perceptual_abilities,gold_msi_musical_training,gold_msi_emotions,gold_msi_singing_abilities,gold_msi_general_sophistication,bfi_extraversion,bfi_agreeableness,bfi_conscientiousness,bfi_negative_emotionality,bfi_open_mindedness,ses_nuclear_family,AddMusicTraining[years],lastMusicActivity[years],training[years],MT05,melody_span_score,to_keep
AU_Sydney,16n24a20,male,20,13,nonmusician,Australia,"Western Sydney University - MARCS Institute for Brain, Behaviour and Development",NA,NA,39,0.6842105263157895,15,10,8.5,19,19,2,2,2,5,11,9,13,16,16,14,13,16,88,72,25,39,10,26,25,48,39,40,41,33,41,48,NA,NA,NA,0,block12,TRUE
AU_Sydney,19n21b20,female,20,13,nonmusician,Australia,"Western Sydney University - MARCS Institute for Brain, Behaviour and Development",NA,NA,34,0.5964912280701754,15,10,9,22,1,3,1.5,5,6.5,16,13,12,17,20,18,17,11,95,84,27,41,14,38,26,50,35,41,34,46,45,63,NA,NA,NA,1,block12,TRUE
AU_Sydney,11m16r27,male,27,16,musician,Australia,"Western Sydney University - MARCS Institute for Brain, Behaviour and Development",NA,NA,52,0.9122807017543859,30,11.5,12,26,20,8,6,9,7,30,22,20,20,20,20,19,20,119,99,58,56,49,42,48,124,40,58,36,20,59,56,NA,NA,3,10 or more,block12,FALSE
AU_Sydney,12m13l27,male,27,16,musician,Australia,"Western Sydney University - MARCS Institute for Brain, Behaviour and Development",NA,NA,38,0.6666666666666666,13,8.5,12,24,17,5.5,5,6.5,6.5,23.5,18,19,17,17,13,18,17,101,84,49,63,42,40,36,99,38,51,54,15,51,57.5,NA,NA,10,10 or more,block12,TRUE
BE_Bruxelles,1m14p24,male,24,17,musician,Belgium,Bruxelles - Université Libre,1n7s24,NA,34,0.5964912280701754,19,8,8.5,29.5,20,7.5,7,3.5,7,25,17.5,18,19,16,15,15,16,99,83,54,51,43,36,41,109,48,42,51,31,56,66,NA,NA,10,10 or more,block12,TRUE
BE_Bruxelles,2m29c25,male,25,18,musician,Belgium,Bruxelles - Université Libre,12n18s26,NA,38,0.6666666666666666,21,11.5,11,27,29,8.5,5,7,7.5,28,19.5,18,20,20,20,20,20,118,98,40,47,33,36,31,82,40,48,31,39,52,66,NA,NA,13,6-9,block12,FALSE
BE_Bruxelles,3m18a29,female,29,18,musician,Belgium,Bruxelles - Université Libre,8n4s28,NA,42,0.7368421052631579,17,14,7.5,27.5,27,7,5,3.5,5.5,21,14,18,20,20,17,17,16,108,92,49,46,40,36,36,94,34,38,47,38,49,52,NA,NA,22,10 or more,block12,TRUE
BE_Bruxelles,4m24t28,male,28,17,musician,Belgium,Bruxelles - Université Libre,10n12m29,NA,42,0.7368421052631579,21,9.5,9,20,28,6,4.5,6.5,4,21,15,16,15,17,14,15,10,87,77,37,56,39,34,17,76,37,38,43,32,52,66,NA,NA,15,10 or more,block12,TRUE
BE_Bruxelles,5m30e22,female,22,16,musician,Belgium,Bruxelles - Université Libre,5n7w22,NA,41,0.7192982456140351,12,6,7.5,31,13,8,7,3.5,6,24.5,16.5,17,20,20,12,18,18,105,87,46,62,42,41,36,101,37,56,50,39,57,54.5,NA,NA,16,10 or more,block12,TRUE
BE_Bruxelles,6m17m23,female,23,17,musician,Belgium,Bruxelles - Université Libre,3n17z24,NA,49,0.8596491228070176,28,9.5,9,33,27,7.5,8,8,8,31.5,24,15,17,18,17,17,17,101,84,52,55,45,40,37,108,36,54,34,37,56,66,NA,NA,13,10 or more,block12,TRUE
